indicator_id,region_id,date,value
ZATT,3101,2020-01-31,1174988.0
ZATT,139,2020-01-31,431770.0
ZATT,1090,2020-01-31,351893.0
ZATT,2402,2020-01-31,471176.0
ZATT,2841,2020-01-31,975890.0
ZATT,1286,2020-01-31,1138458.0
ZATT,581,2020-01-31,1181555.0
ZATT,2964,2020-01-31,549253.0
ZATT,978,2020-01-31,402209.0
ZATT,1347,2020-01-31,842773.0
ZATT,2832,2020-01-31,546913.0
ZATT,3250,2020-01-31,530486.0
ZATT,445,2020-01-31,417419.0
ZATT,207,2020-01-31,1042229.0
ZATT,791,2020-01-31,235303.0
ZATT,2049,2020-01-31,348488.0
ZATT,3136,2020-01-31,1968114.0
ZATT,1561,2020-01-31,463069.0
ZATT,386,2020-01-31,309741.0
ZATT,2452,2020-01-31,1843669.0
ZATT,3175,2020-01-31,316743.0
ZATT,1510,2020-01-31,1314586.0
ZATT,2801,2020-01-31,922425.0
ZATT,2046,2020-01-31,1317388.0
ZATT,3017,2020-01-31,552635.0
ZATT,401,2020-01-31,551840.0
ZATT,1252,2020-01-31,848201.0
ZATT,2993,2020-01-31,539332.0
ZATT,2241,2020-01-31,258781.0
ZATT,3165,2020-01-31,376981.0
ZATT,2614,2020-01-31,310012.0
ZATT,1950,2020-01-31,426373.0
ZATT,2288,2020-01-31,336130.0
ZATT,2339,2020-01-31,487729.0
ZATT,1287,2020-01-31,404095.0
ZATT,1694,2020-01-31,838608.0
ZATT,3159,2020-01-31,1337733.0
ZATT,2840,2020-01-31,560307.0
ZATT,1440,2020-01-31,664784.0
ZATT,3130,2020-01-31,386350.0
ZATT,281,2020-01-31,355022.0
ZATT,2975,2020-01-31,814453.0
ZATT,2347,2020-01-31,1046553.0
ZATT,3148,2020-01-31,1056362.0
ZATT,2804,2020-01-31,271950.0
ZATT,1018,2020-01-31,389907.0
ZATT,1388,2020-01-31,297193.0
ZATT,1020,2020-01-31,606178.0
ZATT,3102,2020-01-31,450153.0
ZATT,157,2020-01-31,297682.0
ZATT,1682,2020-01-31,471406.0
ZATT,2694,2020-01-31,873391.0
ZATT,2480,2020-01-31,427032.0
ZATT,874,2020-01-31,734983.0
ZATT,1165,2020-01-31,237496.0
ZATT,324,2020-01-31,473927.0
ZATT,2337,2020-01-31,342829.0
ZATT,489,2020-01-31,320680.0
ZATT,3246,2020-01-31,421348.0
ZATT,2815,2020-01-31,356055.0
ZATT,1155,2020-01-31,297592.0
ZATT,204,2020-01-31,327988.0
ZATT,2061,2020-01-31,884314.0
ZATT,2802,2020-01-31,499956.0
ZATT,2314,2020-01-31,350458.0
ZATT,3227,2020-01-31,2203725.0
ZATT,2626,2020-01-31,419609.0
ZATT,2322,2020-01-31,321279.0
ZATT,1690,2020-01-31,204454.0
ZATT,2981,2020-01-31,496539.0
ZATT,2879,2020-01-31,456717.0
ZATT,1322,2020-01-31,536395.0
ZATT,504,2020-01-31,683849.0
ZATT,951,2020-01-31,485000.0
ZATT,1776,2020-01-31,185301.0
ZATT,1223,2020-01-31,252329.0
ZATT,503,2020-01-31,679489.0
ZATT,2742,2020-01-31,309700.0
ZATT,2810,2020-01-31,615332.0
ZATT,2045,2020-01-31,1011000.0
ZATT,2463,2020-01-31,266594.0
ZATT,2842,2020-01-31,2263433.0
ZATT,2847,2020-01-31,688098.0
ZATT,220,2020-01-31,461218.0
ZATT,984,2020-01-31,461624.0
ZATT,135,2020-01-31,436722.0
ZATT,3134,2020-01-31,536762.0
ZATT,330,2020-01-31,343641.0
ZATT,1804,2020-01-31,273815.0
ZATT,1948,2020-01-31,912919.0
ZATT,988,2020-01-31,462601.0
ZATT,2889,2020-01-31,329289.0
ZATT,2732,2020-01-31,320185.0
ZATT,1106,2020-01-31,742737.0
ZATT,2441,2020-01-31,705035.0
ZATT,2243,2020-01-31,463798.0
ZATT,3001,2020-01-31,383957.0
ZATT,414,2020-01-31,511451.0
ZATT,1689,2020-01-31,458556.0
ZATT,3236,2020-01-31,266140.0
ZATT,80,2020-01-31,431321.0
ZATT,757,2020-01-31,263549.0
ZATT,201,2020-01-31,333696.0
ZATT,285,2020-01-31,266560.0
ZATT,3289,2020-01-31,1054750.0
ZATT,989,2020-01-31,739321.0
ZATT,2698,2020-01-31,408221.0
ZATT,659,2020-01-31,533700.0
ZATT,2127,2020-01-31,578620.0
ZATT,2251,2020-01-31,444389.0
ZATT,1558,2020-01-31,476559.0
ZATT,1822,2020-01-31,457263.0
ZATT,1556,2020-01-31,366025.0
ZATT,1404,2020-01-31,266637.0
ZATT,2986,2020-01-31,376954.0
ZATT,3152,2020-01-31,566194.0
ZATT,771,2020-01-31,647299.0
ZATT,2980,2020-01-31,212186.0
ZATT,2734,2020-01-31,657674.0
ZATT,3069,2020-01-31,584065.0
ZATT,2776,2020-01-31,362959.0
ZATT,1676,2020-01-31,321384.0
ZATT,322,2020-01-31,510609.0
ZATT,197,2020-01-31,343092.0
ZATT,3033,2020-01-31,445838.0
ZATT,911,2020-01-31,291144.0
ZATT,1349,2020-01-31,384937.0
ZATT,1964,2020-01-31,473345.0
ZATT,1611,2020-01-31,548552.0
ZATT,2537,2020-01-31,243048.0
ZATT,221,2020-01-31,271522.0
ZATT,2482,2020-01-31,595118.0
ZATT,2063,2020-01-31,332255.0
ZATT,1241,2020-01-31,669131.0
ZATT,2312,2020-01-31,294865.0
ZATT,146,2020-01-31,423697.0
ZATT,1396,2020-01-31,1009362.0
ZATT,2033,2020-01-31,420101.0
ZATT,2511,2020-01-31,709458.0
ZATT,2465,2020-01-31,242632.0
ZATT,669,2020-01-31,301599.0
ZATT,1746,2020-01-31,317839.0
ZATT,2983,2020-01-31,439142.0
ZATT,2934,2020-01-31,351318.0
ZATT,2896,2020-01-31,366113.0
ZATT,1442,2020-01-31,319896.0
ZATT,616,2020-01-31,213427.0
ZATT,353,2020-01-31,486530.0
ZATT,3266,2020-01-31,317063.0
ZATT,3286,2020-01-31,453639.0
ZATT,343,2020-01-31,281202.0
ZATT,2743,2020-01-31,325409.0
ZATT,215,2020-01-31,339944.0
ZATT,287,2020-01-31,302469.0
ZATT,1721,2020-01-31,223670.0
ZATT,448,2020-01-31,533679.0
ZATT,3229,2020-01-31,1342068.0
ZATT,2538,2020-01-31,400149.0
ZATT,3081,2020-01-31,430418.0
ZATT,1485,2020-01-31,605033.0
ZATT,2444,2020-01-31,1097294.0
ZATT,1395,2020-01-31,592470.0
ZATT,1208,2020-01-31,218656.0
ZATT,385,2020-01-31,290562.0
ZATT,1585,2020-01-31,181345.0
ZATT,3247,2020-01-31,545701.0
ZATT,3166,2020-01-31,422831.0
ZATT,971,2020-01-31,428908.0
ZATT,66,2020-01-31,495303.0
ZATT,2596,2020-01-31,436236.0
ZATT,2507,2020-01-31,276177.0
ZATT,1981,2020-01-31,265579.0
ZATT,2528,2020-01-31,508614.0
ZATT,2661,2020-01-31,678741.0
ZATT,685,2020-01-31,317139.0
ZATT,730,2020-01-31,222528.0
ZATT,1290,2020-01-31,393047.0
ZATT,904,2020-01-31,289317.0
ZATT,1201,2020-01-31,505470.0
ZATT,3200,2020-01-31,290478.0
ZATT,3223,2020-01-31,340751.0
ZATT,367,2020-01-31,252859.0
