indicator_id,region_id,date,value,zip_code
ZSFH,58338,2020-01-31,184594.0,1343
ZSFH,58339,2020-01-31,190512.0,1344
ZSFH,58340,2020-01-31,188308.0,1346
ZSFH,58341,2020-01-31,131226.0,1347
ZSFH,58342,2020-01-31,179754.0,1349
ZSFH,58343,2020-01-31,91315.0,1350
ZSFH,58344,2020-01-31,243266.0,1351
ZSFH,58345,2020-01-31,217374.0,1354
ZSFH,58346,2020-01-31,231548.0,1355
ZSFH,58347,2020-01-31,222971.0,1360
ZSFH,58348,2020-01-31,162127.0,1364
ZSFH,58349,2020-01-31,282783.0,1366
ZSFH,58350,2020-01-31,206022.0,1367
ZSFH,58351,2020-01-31,235962.0,1368
ZSFH,58352,2020-01-31,257192.0,1370
ZSFH,58353,2020-01-31,283586.0,1373
ZSFH,58354,2020-01-31,305659.0,1375
ZSFH,58355,2020-01-31,191766.0,1376
ZSFH,58356,2020-01-31,181808.0,1378
ZSFH,58357,2020-01-31,183598.0,1379
ZSFH,58359,2020-01-31,243456.0,1420
ZSFH,58360,2020-01-31,294646.0,1430
ZSFH,58361,2020-01-31,294454.0,1431
ZSFH,58362,2020-01-31,387018.0,1432
ZSFH,58363,2020-01-31,437389.0,1434
ZSFH,58364,2020-01-31,270591.0,1436
ZSFH,58366,2020-01-31,226733.0,1440
ZSFH,58368,2020-01-31,523098.0,1450
ZSFH,58369,2020-01-31,680716.0,1451
ZSFH,58370,2020-01-31,301855.0,1452
ZSFH,58371,2020-01-31,307168.0,1453
ZSFH,58372,2020-01-31,504085.0,1460
ZSFH,58373,2020-01-31,357395.0,1462
ZSFH,58374,2020-01-31,383454.0,1463
ZSFH,58375,2020-01-31,366844.0,1464
ZSFH,58377,2020-01-31,247018.0,1468
ZSFH,58378,2020-01-31,323515.0,1469
ZSFH,58382,2020-01-31,329410.0,1473
ZSFH,58383,2020-01-31,335085.0,1474
ZSFH,58384,2020-01-31,241796.0,1475
ZSFH,58386,2020-01-31,301533.0,1501
ZSFH,58387,2020-01-31,453733.0,1503
ZSFH,58388,2020-01-31,328942.0,1504
ZSFH,58389,2020-01-31,427479.0,1505
ZSFH,58390,2020-01-31,261690.0,1506
ZSFH,58391,2020-01-31,325157.0,1507
ZSFH,58394,2020-01-31,312749.0,1510
ZSFH,58395,2020-01-31,268415.0,1515
ZSFH,58396,2020-01-31,353291.0,1516
ZSFH,58398,2020-01-31,351143.0,1518
ZSFH,58399,2020-01-31,458129.0,1519
ZSFH,58400,2020-01-31,366133.0,1520
ZSFH,58401,2020-01-31,251170.0,1521
ZSFH,58402,2020-01-31,365917.0,1522
ZSFH,58403,2020-01-31,383335.0,1523
ZSFH,58404,2020-01-31,292422.0,1524
